timestamp,000D6F0002907BA2,000D6F0002907BC8,000D6F0002907BDF,000D6F0002907BF5,000D6F0002907C89,000D6F0002908150,000D6F0002908162,000D6F00029C506A
1386374137.12285,0,0,0,6.58066531138714,0,NULL,12.8850298807145,0
1386374138.12572,0,2.26757519819093,0,6.58066531138714,0,NULL,10.7606475971813,0
1386374139.12581,0,0,0,6.58066531138714,0,NULL,12.8850298807145,0
1386374140.12841,0,0,0,6.58066531138714,0,NULL,10.7606475971813,0
1386374141.12796,0,0,0,6.58066531138714,0,NULL,10.7606475971813,0
1386374142.12335,0,0,0,6.58066531138714,0,NULL,12.8850298807145,0
1386374143.13519,0,0,0,6.58066531138714,0,NULL,10.7606475971813,0
1386374144.13078,0,0,0,6.58066531138714,0,NULL,12.8850298807145,0
1386374145.12876,0,2.26757519819093,0,6.58066531138714,0,NULL,10.7606475971813,0
1386374146.13102,0,0,0,6.58066531138714,2.36645923300298,NULL,12.8850298807145,0
1386374147.13708,0,0,0,6.58066531138714,0,NULL,10.7606475971813,0
1386374148.73794,0,0,NULL,4.43812849947612,0,NULL,10.7606475971813,0
1386374149.8081,0,0,NULL,6.58066531138714,0,NULL,12.8850298807145,0
1386374150.86942,0,2.26757519819093,NULL,6.58066531138714,0,NULL,10.7606475971813,0
1386374152.02735,0,0,NULL,6.58066531138714,0,NULL,12.8850298807145,NULL
1386374153.18806,0,0,NULL,6.58066531138714,0,NULL,10.7606475971813,NULL
1386374154.34697,0,0,NULL,6.58066531138714,0,NULL,12.8850298807145,NULL
1386374155.45802,0,0,NULL,6.58066531138714,0,NULL,10.7606475971813,NULL
1386374156.48264,0,0,0,6.58066531138714,0,NULL,12.8850298807145,NULL
