timestamp,000D6F00036BB04C,000D6F00029C2BD7,000D6F000353AC8C,000D6F0003562E10,000D6F0003562C48,000D6F00029C2984,000D6F000353AE51,000D6F0003562C0F,000D6F0003562BF6
1394664783.59329,2.27473654877291,0,0,0,0,NULL,0,0,0
1394664784.6133,0,0,0,NULL,0,0,0,0,0
1394664785.61854,2.27473654877291,0,0,NULL,0,0,0,0,0
1394664786.64564,0,0,2.17196910482001,NULL,0,0,2.32217763527184,0,0
1394664787.67276,2.27473654877291,0,0,NULL,0,0,0,0,0
1394664788.69689,0,0,0,NULL,0,0,0,0,0
1394664789.71697,2.27473654877291,0,0,NULL,0,0,0,0,0
1394664790.81887,0,0,2.17196910482001,NULL,0,0,0,0,NULL
1394664791.8799,2.27473654877291,0,0,0,0,0,2.32217763527184,0,NULL
1394664792.93531,0,0,0,0,0,0,0,0,NULL
1394664794.02719,2.27473654877291,0,0,0,0,0,0,NULL,NULL
1394664795.18028,2.27473654877291,0,2.17196910482001,0,0,0,0,NULL,NULL
1394664796.30705,0,0,0,0,0,0,0,NULL,NULL
1394664797.45446,2.27473654877291,0,0,0,0,0,2.32217763527184,NULL,NULL
1394664798.48287,0,0,2.17196910482001,0,0,0,0,NULL,0
1394664799.59499,2.27473654877291,0,0,0,0,NULL,0,NULL,0
1394664800.72308,0,0,0,0,0,NULL,0,NULL,0
1394664801.75241,2.27473654877291,0,0,0,0,NULL,2.32217763527184,0,0
1394664802.75886,0,0,2.17196910482001,0,0,NULL,0,0,0
